<Objects>
	<Object type="0x0300" id="Rogue">
		<Class>Player</Class>
		<Description>The rogue relies on his speed to deal damage at medium range while avoiding attacks.</Description>
		<AnimatedTexture><File>players</File><Index>0</Index></AnimatedTexture>
		<HitSound>player/rogue_hit</HitSound>
		<DeathSound>player/rogue_death</DeathSound>
		<Player/>
		<BloodProb>1.0</BloodProb>
		<SlotTypes>2, 13, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0</SlotTypes>
		<Equipment>0xa14, 0xa56, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1</Equipment>
		<MaxHitPoints max="720">150</MaxHitPoints>
        <MaxShieldPoints max="0">0</MaxShieldPoints>
		<MaxResourcePoints max="252">100</MaxResourcePoints>
		<Attack max="50">10</Attack>
		<Defense max="25">0</Defense>
		<Speed max="75">15</Speed>
		<Dexterity max="75">15</Dexterity>
		<HpRegen max="40">15</HpRegen>
		<MpRegen max="50">10</MpRegen>
	</Object>
</Objects>
